내용,결과,,긍정 댓글 수,부정 댓글 수,중립 댓글 수
생물학 찾는 게 아닌 그냥 통계 만 찾아봐도 당연한 인과성 통계청 발표 조 사망률 명 저건 만 명 대상 조사 거 덜 죽는 거임,33.89의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
마스크 대충 써서 민폐 끼치지 마시고 사세요 확률 드립 있는 임상실험 후 급히 나오는 불완전한 백신 인과성 성명 만 된 게 확률,33.99의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
생물학 전공자 찾아요 통계학 전공자 찾으면 모름,35.05의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
뇌피셜 드립 치는 듯,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
걱정 그냥 맞은 요인 성인 정 하는 과정 그냥 간단한 의사 명 결정 하는 건 줄 아십니까 수많은 명의 분야 전문 의료 진 회의 통해 결정 되는 겁니다 뇌사 판정 하는 말 수많은 의사 매수 고요 굳이 나라 수당 거 요정 불안하시면 마스크 거리 두 기 소독 철저히 하신 주변인 민폐 끼치지 마시고요,34.15의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
질병 성 혈전 증 검사 거부 해서 사람 죽는 건 생각 함 수많은 의사 고용 안 검사 안 하는 책임지기 싫다는 행보 안 보이지 않은 생각 있는 존재 자체 민폐 인 말 많은 머리 달렸으면 찾아보고 생각,34.53의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
인과성 의문 가지 고 생물학 전공자 물어본 거 통계 드립 나오는 거 통계 자체 의문 가지는 거 드는 건강하던 고 아들 개월 전 피 검사 아무렇게나 없는 접종 후 백혈병 판정 받았는데 인과성 성인 성 어렵다는데 부분 묻는 거 통계 만 보는 아무렇게나 문제 없는 통계 만 믿고 백신 맞기에는 설명 할 수 없는 부작용 많으니깐 설명 할 수 없는 부분 대해 정도 지식 있는 생물학 관련 전공자 묻는 겁니다,34.68의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
김현우 인과성 평가 질병 관리 청 합니다,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
김 군 말 한번 잘 했네요 질병 관리 청 아무렇게나 모르는 일반인 판정 합 그랬으면 난리 났겠죠 말 했건 여러 명의 의견 일치 있는 가능합니다 사람 목숨 가지 고 장난 거 생각 하신 거 면 아무런 근거 없는 헛소문 뇌피셜 관련 직종 명예 실 추하지 말아주세요,34.42의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
김 군 백혈병 같은 경우 원래 주로 급성 걸리는 병 이라 거기 의문 품는 건 검색 하신 좋았을 인과성 여러 가지 경우 수 따지고 백신 성분 발생 부작용 여러 변수 요인 가지 고 백혈병 유발 하는 원인 대조 하는 데 공개 대조 자료 나오는 게 없는 관계자 아무렇게나 모르는 거,35.29의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
게 다문 재인 때문 임,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
아닌 고 수많은 번 말 해줘도 안 믿는 게 믿음 줘야 되냐는 학력 지능 딸리는 걸 올릴 순 없는 미국 전 세계 백신 불화설 학력 만 믿음,34.46의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
이진학 게 다문 재앙 깨문 때문 임 미국 영국 서방 백신 접종 백신 외교 백신 홍보 하지 않은 방역 만 홍보 결과 임,33.96의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
안 믿기로 마음먹은 사람 믿음 주 그냥 안 믿음 사람 안 맞는 맞은 사람 근처 못 오게 만드는 게 상책 안 맞은 사람 끼리 마을 형성 모임 갖는 하면 되겠네,34.73의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
나라 백신 믿음 주 려고 함 그냥 능지 잘 못 임,33.85의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
말 안 되는 상상 속도 백신 나오는 믿는다는 게 개돼지 지 한국 정치 하기가 쉬운 거여,34.0의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
나라 탓 하는 뇌 어린 지금 정권 맘 들진 않은 남 탓 하는 병 했으면,34.13의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
발광 백신 확보 늦으면 늦는다고 욕 그랬다가 백신 들여오고 맞 힐 상상 속도 개발 된 백신 욕 하는 욕 하기로 마음먹고 시작 사람 이성 가지 고 비판 하는 시늉 하는 정치가 힘들겠지,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
급 조 백신 이라 완벽하진 않은 게 맞은 정도 속도 백신 개발 면 정복 못 할 병 없는,34.6의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 못 구해 방송 매체 통해 사실 왜곡 뉴스 만드는 백신 해놓은 발표 백신 하지고 못 허위 사실 만 발표 하는,33.91의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
명 사망 입니다,35.54의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
같은 분 처 맞은 마세요 벌써 맞은 거 아닌,34.08의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
장고 고 말 본세하고는 수준 뻔하다,34.94의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
장고 고 절대 안 맞은 거 남은 백 신들 부스터 샷 하신,34.96의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
장고 고 같은 애 차로 알도 쪽 놔줘야 되는,34.77의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
장고 고제 발 처 맞은 않은 가는 백신 권고 하지 말 시위 해주는,34.07의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
알투 쪽,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
장고 고이 게 깨 문 이지,34.83의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
파이리 맞는 싶은가 보네 안 맞은 소리 안 하는,36.26의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
마스크 쓰고라도 쳐 나오지 마세요 남 더러운 병균 옮기지 마시고 부탁,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
장고 고유 가족 그러세요,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
무뇌 인 걸 자랑 우리나라 의료 붕괴 없는 사망률 적은 옆 나라 만 가봐라 검사 못 받고 집 죽는 나가는,34.64의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
팩트 원래 죽 사람,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 맞은 정상인 안 죽는,36.64의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
듀뇽 팩트 정상인 백신 맞은 안 죽는,36.89의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 솔직히 맞는 안 걸리는 거도 아닌 위험한 부분 이라 생각 합니다 백신 맞는 안 걸리다 하면 맞겠는데 백신 맞았는데도 걸리는 거 보는 죽 수도 있는 백신 모험 삼아 맞는 싶진 않은,36.09의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
이진학 팩 투지 하는 생각 팩트 쳐 믿음,34.04의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
듀뇽 정상인 기준 말 막 뱉네,34.97의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
이진학 잼민 이지 말투,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
죽었을 사람 백신 덕 살아있는 건 생각 안,35.47의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
인도 비교 하면 한국 코로나 백신 죽 확률 높은,33.89의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 걸리는 사람 뒤지는 확률 많을까 백신 맞은 죽는 확률 많을까,35.52의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
나라 외 인생 책임지는 줌 국가 개인 삶 책임지기 존재 하는 게 아닌 개 같은 보상 소리 그만하세요 보상 해주는 돈 하늘 뚝 떨어진 줄 암,34.27의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
문진호 나라 나서서 국민 백신 안전하니까 맞은 강요 했잖아요 나라 백신 안전한 장담 했으니까 책임지는 책임지기 싫은 백신 안전한 대해 왈가 왈부 면 안 되는,34.62의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
문진호 백신 강요 하면 안 됨,34.53의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
되셨나요 답글 부탁 합니다,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
쿵쿵따 타 돌아가셨다고 합니다,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
돌체 스토 돌체 예의 게 없는,34.64의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
타로 타일 차시 분 접종 했으면 증상 없는 맞은 날 저녁 붓고 맞은 엄청난 통증 있는 잠 두어 번 깰 정도 개개인 차이 있던 함일 오후 타이레놀 두 알 먹는 현재 통증 없었네요 대신 맞은 아주 정도 입니다,34.22의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
원래 아프시던 거 면 진짜 장난 아니었을 고생 하신,34.55의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
공감,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
맞은 옳소이다,33.6의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
인과성 인정 안 되는 게 소름,33.82의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
우리나라 하루 명 가량 사망 합니다 지난 두 간 잡으면 만 명 정도 백신 상관없이도 평상 두 만 명 사망 얘기 입니다 단순 계산 해서 우리나라 백신 접종 률 만 잡아도 만 천명 백신 맞은 사람 겠죠 실제 노령 층 위주 되겠 논리 여명 아닌 만천 명 백신 때문 죽는 사람 되는 거 그런 단순 계산 안 해보는 주장 하는 백신 음모론자 학력 얘기 나오는 겁니다,38.59의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
인구 동향 보셨나요,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
이후 가장 사망자 많았던 사망자 연간 약 만 명 이는 평균 만 명일 평균 명 입니다 제시 하신 자료 출처 되는 알 수 있는,34.15의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
뇌피셜 인 듯,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
평균 죽는 하루,35.4의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
현명하니,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
그렇죠,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
단순한 현실 존재 하지 않은,34.02의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
원래 아무렇게나 문제 건강하던 사람 죽 수 있는 단순 돌연사 백신 연결하면 에바 디 혈전 증 합병증 죽는 모름,34.07의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
제자 맛있어 건강하던 대가 단순 돌연 사할 가능한 만면 명도 안 될 겁니다 하필 백신 맞는 사람 인정 해보는 된다는 말 아닌 최소한 국가 현 제인 성인 소 극적 움직여 최대한 통계 수 줄이려 보인다는 겁니다,35.67의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
늙은이 모름 젊으면 밖 백신 이지,33.75의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
자영 업자 장사 못 개죽음 당함,34.98의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대충 명 명 전염 됐는데 나머지 여명 백신 맞는 명 정도 부작용 죽는 거 같은,34.25의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
인정 뒤져도 안 해주는 데,33.69의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
압박 감 흉통 손 저림 요즘 며칠 째 두통 심한 요약 안 듣는 병원 백신 때문 리가 없는 소리 만 하는,34.8의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
어머 어쨋든 병원 서는 인지 시를 받은 건지 무조건 인과성 없는 할 테 고 걱정 이겠네요 회복하길 기,34.77의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
골 모르니 병원 보시 게 좋으실 거 같은,34.35의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
부작용 카페 들어가 보는 증상 많더라고요 증상 겪는 분취 재도 했으면 증상 나왔을 병원 가는 조치 취하 고 검사 치료받는 이루어지는지도 기사화 되면 좋은,35.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
맞는 부작용 겪은 사람 아무렇게나 관심 없는,34.24의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
개독 위험한,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
카더라 카더라,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
사람 명 넘기는 죽는 나가도 인과성 인정 고작 명 의료사 고랑 비슷하냐 병원 수술 죽는 의사 잘못 없는 거 진짜 똑같은,33.97의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
사팔 헬 조선,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
쫄리 면 맞은 마,33.6의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
픽 쓰러지는 노땅 돈 줘야 되는,34.79의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
인정 하면 보상 엄청나고 누가 무서운 백신 맞을까요 인정 안 하는,35.93의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
아마 안 들면 미국 가는 천만 원 내고 고쳐 씻,33.88의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 접종 률 지금 프로 넘어가는 있는 시점 노년 층 먼저 접종 해서 맞은 상황 만 명 넘는 인원 명 사망 이면 솔직히 백신 때문 돌아가셨 다기 인과성 없는 경우 많긴 할 듯,36.74의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
신고 된 만 명 망명 중증 부작용 하루 명 장애인 만드는 독극물 임,34.93의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
꿀떡 신고 된 명 자료 링크 걸어,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
그냥 불안한 안 맞은 되는 거 이렇게나 불 불 거림,34.35의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
틀 실제 보다니 영광 입니다,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
맞네요,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
접종 안 경우 하면 연령 대별 접종 률 다르기에 코로나 백신 나오기 전의 치사 율 해보는 맞,35.39의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 사망률 알려면 모든 사람 코로나 걸리는 봤다고 가정 하는 게 맞은 듯 합다 안 걸리는 확률 높은 건 사실,36.65의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 실제 사망률,35.24의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
바보 임 백신 선택 인 데코 로나 선택 임 시 작 점 데 소리 하는 건 지원 시작 맞은 경우 걸리는 경우 따져야지 내 백신 선택 해서 죽 확률 걸리는 죽 확률 따지는 거임 심하네 한심해,35.71의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
아세요 초 고속 말씀 선택 떠나는 접종 빈 접종 사망률 자체 의미 하는 듯,34.27의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
안 걸리는 사람 맞은 사망 경우 아닌,34.45의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
걸러,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 맞는 거 강요 하지 마는 맞은 안 걸리는 거 남 보고 백신 강요 해지 맞은 무적 이라 며 백신 못 믿으니 남 맞은,36.36의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
동감 생각 요점 확률 계산 비교 엉터리 백신 안 맞는 코로나 안 걸리는 확률 더해야죠 백신 맞는 게 위험한 결과 나옴,36.85의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
무,35.54의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
내 말 백신 맞는 안 맞는 내 결정 하면 프로 보고 시작 하는 코로 내 안 걸리는 확률 계산 되는 하는 거 아닌 싶은,39.53의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
치면 코로나 걸리는 확률 고 율 면 되는 백신 맞는 건 결정 할 수 있는 치사 율 돼야지,36.83의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 차 맞는 차 맞는 차 맞는 매년 맞는 거 효과 있던 할 수 없는 게 정답 맞은 죽는 개죽음,37.3의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 사망률 독감 사망률 높은 하러 백신 맞는 백신 맞은 돌파 감염 걸리는 데 그냥 안 맞는 코로나 걸리는 게 낫 지,37.86의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
소리 독 감 사망률 코로나,34.26의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
멍청함의 끝판 왕,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
내 되면,35.54의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대이야 내일 지구 운석 부딪혀 인류 멸망할 가능한 대이라 하겠네,35.06의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
따지면 운석 맞는 죽 확률 오늘 교통사고 죽 확률 지친 시술 죽 확률 있는 판 완전한 안전한 게 가능한 봄 확률 중요한,34.18의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
계산 방법 골 리 모든 사망 원인 대이네,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대이라는 거 죽자고 달려드는 거 진짜 확률 대이라 말 하겠냐,34.32의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
비유 멍청한 소리 인지 말 했으면,34.59의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
꼭 철 없거나 애 새끼 끝 말 만 보고 반박 하는 경향 있더라 보고 싶은 대로 처보 그런 감수 쥰,34.11의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
복권 샀다 되는 꽝 거나 확률 기대 해봄 직하다,34.83의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대대 어린 걸 이해한 못 이상한 반박 만 처 있는 학교 못 가는 배우질 못 해서 런가,34.33의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
회사 동료 작은아버지 백신 맞는 일주일 뒤 혈전 증 걸리셨는데 인과성 증명 안 된다고 하는 마라톤 뛰실 만큼 정정 하셨다던 데,36.34의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
맞는 사람 목 숨 걸리는 임상실험 참가 하는 거,34.55의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
지금 문 정권 백신 문제 아닌 떠벌리는 이유 백 신 부작용 보상 예산 억 임 국민 힘 김 미애 의원 따르는 질병 관리 청 지난 코로나 백신 반응 관리 목적 억만 원 예산 편성 받았다 이중 피해 보상금 지급 위 예산 억만 원 나머지 지친 관리 명목 만 원소 책자 제작 비용 만 원,34.19의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
헛소리 떠들지 지인 분 코로나 맞은 의료 기관 맞은 지 말 해보는 지인 지인 하지 백신 접종 후 사망자 공개 발표 하는 대조 해보게 못 하면 거짓 인,36.61의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
초록 여우 사람 죽는 거 구라 다니겠냐 생각 가락국수 사리 나오는지 한심하네,34.27의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
초록 여우 민주당 지지자 이란,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
세월호 침몰 아침 구조 구라 쳤더냐 남 비아 냥 되는 감정 호소 하지 반론 팩트 비판 팩트 못 까는 새끼,34.88의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
삼국 힘 당 지지자 이란,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
성분 성분 보관 상태 안 좋은 경우 많죠,33.89의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 성분 있 누,33.84의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 성분 수은 들어가는 건 알 고 있는,34.01의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 아무렇게나 효과 없는 효과 있던 뻥 치는 개구 의료 장사 임,33.71의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
수은 들어가 맹독 성 물질 인 수은 알루미늄 포름알데히드 지 가지는 꼭 들어가요 대부분 백신 물질 안전한 테스트 제대로 되는 않았죠 백신 산업 생각 부패했습니다 승인 시 켜준다고 안 심할 게 아니에 요도 부패했으니까 말 인지 아시겠나 요가 돈 받고 승인 시켜주는 거 정치인 돈 받고 특정 백신 아무렇게나 접종 거나 권장 하는,36.15의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
상남자 맞은 그것 이외 많죠 수은 몸 들어가면 신경계통 자폐 아가 많아지고 있던 발표 했죠,33.88의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
김지수 상당히 무거운 말씀 하셨는데 당연한 합리 인 근거 있는 거 겠죠,34.18의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
멍청한 침팬지 근거 있는 그게 침팬지 임 본인 맹목 인 공 포심 만드는 낸 환상 진짜 착각 하는 궁평 들인데,34.13의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 충분한 실험 통해 안전한 점증 됐으니 안전합니다,33.79의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
그러는 쳐 보는 백신 맞은 사람 몸 자석 붙는 거 있는 대체 성분 있길래 자석 붙는 건지 사람 아닌 두렵네요,36.26의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
차 쭉 부지런히 맞은,33.98의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
문재인 문제 임,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
자유 아닙니다의 간호사 양사 접종 강요 당 있는 점점 사무직 강요 되는 분위기 입니다 나라 공 산화 돼가고 있는,34.43의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
정희진 당연한 직업 검사 해보는 백신 접종 하라 고 하는 그게 공 산화 라뇨,34.21의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
야니 백신 안 맞는 싸 돌아다니다 수많은 명 감염 시킬,36.18의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
문제 확률 계산 코로나 걸리는 확률 죽 확률 백신 맞은 죽 확률 계산 해보는 하며 거기 백신 접종 해도 돌파 감염 인과성 성 인정이 어렵다는 점 고려 해서 알리 고 해보는 하는 언론 그냥 걸리는 앞 따 짜르 고 죽 확률 이렇고 그냥 맞은 래야 맞은 이러는 게 말 안 되는 그런 겁니다 우리나라 대중 코로나 확진된 되는 죽는 사람 있나요 있게는 기 질환 병원 계시던 사람 알 고 있는 백신 맞는 숨진 대요 통계 판이 요정 말 군 병장 해서 많은 인정 된 게 건 매우 웃기는 저렇다는 건 관련성 증자 채 어렵다는 이야기,40.32의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
차카 게 살자 인터넷 안 깝죽 거리 고 다닐게요 나라 개인 직업 내 몸 주사 찔러 넣는데 강요 하는 말 안 되는 이야기 입니다,34.39의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
집토끼 백신 맞은 감염 됨 이스라엘 우리나라 백신 접종 률 높은 데 뚫림 백신 맞은 도움 되는 건 맞은 안 걸리는 거 아닌,36.38의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
그러다 존 나처 맞는 센드 백,33.98의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
집토끼 백신 맞은 돌파 감염 되는 거론 많은 걸리는 무증상 이라 알 차리 지도 못 해서 사람 감염 시 키 기 존 쉬운데 결론 무의미,35.1의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 접종 안 하면 죄인 취급 하는 그렇죠,37.0의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
주 실무 의미 할 정도 아닌 과장 말 하는 애 백신 공급 안 하면 욕 하는 애 지 노년 층 위험한 데,35.53의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
옳소,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 맞은 코로나 걸리는 확률 줄어들고 걸리더라도 중증 가는 걸 막아주기 때문,34.65의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
맞은 걸리는 확률 적으니까 글치빡,34.03의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 맞는 흑우 없,34.47의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞는 걸리는 증증 가는 확률 줄어든다는 건 나라 자료 임,33.92의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
구완 안 맞은 걸리는 확률 놀러 다니는데 걸리는 애 없는,34.25의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
블로그 성 재기 유산 개돼지 그냥 백신 맞은 내버려 두세 유,34.09의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞은 마스크 벗 수 있는 코로나 안 걸리는 대체 맞은 함,38.77의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 죽는 기 질환 없는 사람 수 명 입니다,34.3의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
순록 이세 그냥 안 맞은 거 면 지나가세요 백신 맞는 죽는 무셔 맞아오다가 찌 찔해 보여,37.54의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
진짜 유효 기간 개월 안 되는 굳이 맞은 이유 없는,34.9의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
타이레놀 통증 발열 부작용 만 효과 있는 사실 상 치명 인 부작용 아무렇게나 효과 없는,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 못 맞는 거짓말 치 지 마세요 말 맞은 백신 사람 상대로 마루타 생체실험 있던 거임,36.4의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
요즘 우리나라 애 원시인 수준 과학 유사과학 민간신앙 믿음 점점 애 멍청해지고 있는,34.39의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
똥재 그거 맞은 백신 원래 임 상 만년 거쳐서 나오는 코로 나가는 전 세계 난리 급하게 나오는 건 사실,33.99의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
낭만 덕 후 백신 퍼센트 맞는 코로나 걸릴지 안 걸릴지 모른다는 얘기 초등학교 나오셨나요,35.16의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 안 맞은 돌아가셨을 분 계실 그런 가능한 쏙 빼고 백 번 양보 해서 명 전원 쳐도 코로나 걸리는 죽 확률 배 낮다잖아 뉴스 안 보고 댓글 다는 거 아닌 뉴스 안 믿는 거 아닌 그냥 머리 안 좋은 거,36.72의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
실제 물 먹는 주 이내 사망 사람 잔 인과성 있는,33.9의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
연령 대별 치명 률 다르니 연령 대별 통계 내야 된다고 보는 통합 해서 하는 건 아닌 같은,34.2의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
